Wind Speed (m/s),Turbine Output
0,0
1,0
2,0
3,7
4,30
5,69
6,124
7,201
8,308
9,439
10,559
11,698
12,797
13,859
14,900
15,900
16,900
17,900
18,900
19,900
20,900
21,900
22,900
23,900
24,900
25,900
