Wind Speed (m/s),Turbine Output
0,0
1,0
2,0
2.5,0
3.0,11
3.5,23
4.0,37
4.5,56
5.0,83
5.5,120
6.0,163
6.5,208
7.0,261
7.5,322
8.0,390
8.5,468
9.0,542
9.5,612
10.0,678
10.5,742
11.0,805
11.5,863
12.0,912
12.5,947
13.0,976
13.5,993
14.0,998
14.5,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
